name,Accuracy,Balance Accuracy,F1_score,MCC
EPA_knn_Hmodel,0.6789510985116939,0.6127815184840104,0.668278172734896,0.4931024134101801
EPA_SVM_Hmodel,0.6785967399007796,0.6113076886369114,0.6681230014963366,0.4925901023925511
EPA_RF_Hmodel,0.6778880226789511,0.6158445888235233,0.6676102085793818,0.4928412638464985
EPA_xgboost_Hmodel,0.6711552090715804,0.6150601515967808,0.6628941662871155,0.4833293014999526
EPA_knn_ecfp6bits,0.6250885896527285,0.5550620534781515,0.6143937856196011,0.4067483093994763
EPA_svm_ecfp6bits,0.6236711552090716,0.521866499543656,0.5976397908088257,0.3937563127245083
EPA_RF_ecfp6bits,0.6332388377037562,0.5161530231007515,0.6016368086131514,0.4110265980110927
EPA_xgboost_ecfp6bits,0.6318214032600992,0.5501163239947687,0.6177509852292622,0.4123387161680909
EPA_knn_ecfp6counts,0.6364280652019844,0.571573951271414,0.6256269308617092,0.4261259061183097
EPA_svm_ecfp6counts,0.6339475549255847,0.5449231775498908,0.613933499634432,0.4130162808914908
EPA_RF_ecfp6counts,0.6410347271438696,0.5243505316015324,0.6099243711390718,0.4257926279274713
EPA_xgboost_ecfp6counts,0.6399716513111269,0.5554311120788998,0.6246532432422472,0.4257846248310214
EPA_knn_maccs,0.6265060240963856,0.5628594413432297,0.615779997659278,0.4105829457379633
EPA_svm_maccs,0.6314670446491851,0.5416652493829505,0.6136303634860039,0.41121408778409774
EPA_RF_maccs,0.6523742026931254,0.5657668151235905,0.6367264210517106,0.4465077035567944
EPA_xgboost_maccs,0.6498936924167257,0.5748417589998199,0.6381006688938259,0.44509060097621983
EPA_knn_rdkit2d,0.6328844790928421,0.5720104563009167,0.6237886857197673,0.4221696524447229
EPA_svm_rdkit2d,0.6328844790928421,0.548135941637412,0.6169837934675961,0.4131977844881864
EPA_RF_rdkit2d,0.6587526576895819,0.568745748612559,0.6422778465702457,0.4564862879618967
EPA_xgboost_rdkit2d,0.6534372785258682,0.5675935973826141,0.6388379439221622,0.44844687296115177
EPA_knn_mordred,0.6357193479801561,0.5784947413715851,0.6267641585596899,0.4272802006771181
EPA_svm_mordred,0.6346562721474132,0.5484828058000624,0.6178078742945674,0.4158480441022232
EPA_RF_mordred,0.6630049610205528,0.5747643535996689,0.6480784749048855,0.4636670734393722
EPA_xgboost_mordred,0.6353649893692417,0.5504730233575219,0.6194829694615079,0.4173144352817668
Bmodel_avgp,0.6697377746279235,0.5786784342013656,0.6518590880022376,0.4757353567066563
Hmodel_avgp,0.6807228915662651,0.6181178350834463,0.6703939611153991,0.49705978651309735
